datetime,value
2021-01-19 09:00:00,401.27
2021-01-19 10:00:00,323.23
2021-01-19 11:00:00,327.0
2021-01-19 12:00:00,331.57
2021-01-19 13:00:00,312.5
2021-01-19 14:00:00,323.67
2021-01-19 15:00:00,361.07
2021-01-19 16:00:00,404.13
2021-01-19 17:00:00,512.87
2021-01-19 18:00:00,578.57
2021-01-19 19:00:00,582.27
2021-01-19 20:00:00,564.7
2021-01-19 21:00:00,528.67
2021-01-19 22:00:00,493.77
2021-01-19 23:00:00,428.57
2021-01-20 00:00:00,350.57
2021-01-20 01:00:00,313.5
2021-01-20 02:00:00,285.3
2021-01-20 03:00:00,274.7
2021-01-20 04:00:00,273.17
2021-01-20 05:00:00,277.0
2021-01-20 06:00:00,312.9
2021-01-20 07:00:00,367.97
2021-01-20 08:00:00,383.77
2021-01-20 09:00:00,371.03
2021-01-20 10:00:00,322.0
2021-01-20 11:00:00,271.73
2021-01-20 12:00:00,303.23
2021-01-20 13:00:00,299.17
2021-01-20 14:00:00,289.4
2021-01-20 15:00:00,343.7
2021-01-20 16:00:00,391.87
2021-01-20 17:00:00,472.77
2021-01-20 18:00:00,531.4
2021-01-20 19:00:00,560.6
2021-01-20 20:00:00,550.77
2021-01-20 21:00:00,532.73
2021-01-20 22:00:00,499.17
2021-01-20 23:00:00,409.04
2021-01-21 00:00:00,347.6
2021-01-21 01:00:00,310.2
2021-01-21 02:00:00,284.67
2021-01-21 03:00:00,271.1
2021-01-21 04:00:00,262.9
2021-01-21 05:00:00,272.9
2021-01-21 06:00:00,304.47
2021-01-21 07:00:00,346.97
2021-01-21 08:00:00,366.57
2021-01-21 09:00:00,305.13
2021-01-21 10:00:00,219.03
2021-01-21 11:00:00,287.83
2021-01-21 12:00:00,276.53
2021-01-21 13:00:00,280.27
2021-01-21 14:00:00,316.87
2021-01-21 15:00:00,338.47
2021-01-21 16:00:00,374.8
2021-01-21 17:00:00,423.57
2021-01-21 18:00:00,468.37
2021-01-21 19:00:00,503.67
2021-01-21 20:00:00,487.2
2021-01-21 21:00:00,465.27
2021-01-21 22:00:00,437.63
2021-01-21 23:00:00,388.37
2021-01-22 00:00:00,327.23
2021-01-22 01:00:00,280.33
2021-01-22 02:00:00,255.57
2021-01-22 03:00:00,249.1
2021-01-22 04:00:00,250.1
2021-01-22 05:00:00,266.2
2021-01-22 06:00:00,273.5
2021-01-22 07:00:00,309.97
2021-01-22 08:00:00,340.6
2021-01-22 09:00:00,342.4
2021-01-22 10:00:00,299.4
2021-01-22 11:00:00,263.63
2021-01-22 12:00:00,283.1
2021-01-22 13:00:00,294.27
2021-01-22 14:00:00,285.23
2021-01-22 15:00:00,309.37
2021-01-22 16:00:00,378.97
2021-01-22 17:00:00,430.97
2021-01-22 18:00:00,464.9
2021-01-22 19:00:00,471.1
2021-01-22 20:00:00,449.0
2021-01-22 21:00:00,439.7
2021-01-22 22:00:00,409.13
2021-01-22 23:00:00,376.27
2021-01-23 00:00:00,322.1
2021-01-23 01:00:00,270.07
2021-01-23 02:00:00,246.07
2021-01-23 03:00:00,233.97
2021-01-23 04:00:00,228.1
2021-01-23 05:00:00,241.73
2021-01-23 06:00:00,255.23
2021-01-23 07:00:00,279.0
2021-01-23 08:00:00,279.33
