date,10min,time,value
03.01.21  ,5,01:40:00,36.567
03.01.21  ,6,01:50:00,37.433
03.01.21  ,1,02:00:00,37.267
03.01.21  ,2,02:10:00,36.033
03.01.21  ,3,02:20:00,34.767
03.01.21  ,4,02:30:00,34.533
03.01.21  ,5,02:40:00,36.2
03.01.21  ,6,02:50:00,34.133
03.01.21  ,1,03:00:00,35.067
03.01.21  ,2,03:10:00,33.5
03.01.21  ,3,03:20:00,35.033
03.01.21  ,4,03:30:00,33.7
03.01.21  ,5,03:40:00,34.467
03.01.21  ,6,03:50:00,34.633
03.01.21  ,1,04:00:00,33.533
03.01.21  ,2,04:10:00,34.667
03.01.21  ,3,04:20:00,35.1
03.01.21  ,4,04:30:00,35.3
03.01.21  ,5,04:40:00,34.267
03.01.21  ,6,04:50:00,34.133
03.01.21  ,1,05:00:00,35.5
03.01.21  ,2,05:10:00,35.7
03.01.21  ,3,05:20:00,34.6
03.01.21  ,4,05:30:00,34.7
03.01.21  ,5,05:40:00,34.067
03.01.21  ,6,05:50:00,34.8
03.01.21  ,1,06:00:00,36.333
03.01.21  ,2,06:10:00,35.3
03.01.21  ,3,06:20:00,36.0
03.01.21  ,4,06:30:00,35.533
03.01.21  ,5,06:40:00,35.833
03.01.21  ,6,06:50:00,35.767
03.01.21  ,1,07:00:00,35.733
03.01.21  ,2,07:10:00,34.933
03.01.21  ,3,07:20:00,36.067
03.01.21  ,4,07:30:00,37.033
03.01.21  ,5,07:40:00,38.6
03.01.21  ,6,07:50:00,37.667
03.01.21  ,1,08:00:00,37.9
03.01.21  ,2,08:10:00,38.867
03.01.21  ,3,08:20:00,39.5
03.01.21  ,4,08:30:00,38.933
03.01.21  ,5,08:40:00,38.4
03.01.21  ,6,08:50:00,39.4
03.01.21  ,1,09:00:00,40.667
03.01.21  ,2,09:10:00,41.6
03.01.21  ,3,09:20:00,41.2
03.01.21  ,4,09:30:00,40.667
03.01.21  ,5,09:40:00,38.7
03.01.21  ,6,09:50:00,40.167
03.01.21  ,1,10:00:00,39.633
03.01.21  ,2,10:10:00,40.933
03.01.21  ,3,10:20:00,40.5
03.01.21  ,4,10:30:00,37.8
03.01.21  ,5,10:40:00,36.333
03.01.21  ,6,10:50:00,36.667
03.01.21  ,1,11:00:00,35.7
03.01.21  ,2,11:10:00,24.467
03.01.21  ,3,11:20:00,30.067
03.01.21  ,4,11:30:00,34.233
03.01.21  ,5,11:40:00,34.667
03.01.21  ,6,11:50:00,32.3
03.01.21  ,1,12:00:00,31.267
03.01.21  ,2,12:10:00,22.267
03.01.21  ,3,12:20:00,20.167
03.01.21  ,4,12:30:00,20.1
03.01.21  ,5,12:40:00,19.2
03.01.21  ,6,12:50:00,20.967
03.01.21  ,1,13:00:00,18.667
03.01.21  ,2,13:10:00,19.467
03.01.21  ,3,13:20:00,19.0
03.01.21  ,4,13:30:00,20.733
03.01.21  ,5,13:40:00,31.5
03.01.21  ,6,13:50:00,30.2
03.01.21  ,1,14:00:00,35.133
03.01.21  ,2,14:10:00,37.867
03.01.21  ,3,14:20:00,29.833
03.01.21  ,4,14:30:00,21.767
03.01.21  ,5,14:40:00,26.467
03.01.21  ,6,14:50:00,22.8
03.01.21  ,1,15:00:00,27.1
03.01.21  ,2,15:10:00,23.433
03.01.21  ,3,15:20:00,21.867
03.01.21  ,4,15:30:00,22.333
03.01.21  ,5,15:40:00,26.167
03.01.21  ,6,15:50:00,29.333
03.01.21  ,1,16:00:00,31.9
03.01.21  ,2,16:10:00,33.767
03.01.21  ,3,16:20:00,36.233
03.01.21  ,4,16:30:00,38.4
03.01.21  ,5,16:40:00,41.6
03.01.21  ,6,16:50:00,39.867
03.01.21  ,1,17:00:00,42.8
03.01.21  ,2,17:10:00,45.433
03.01.21  ,3,17:20:00,45.667
03.01.21  ,4,17:30:00,49.433
03.01.21  ,5,17:40:00,53.067
03.01.21  ,6,17:50:00,57.3
03.01.21  ,1,18:00:00,59.1
03.01.21  ,2,18:10:00,59.9
03.01.21  ,3,18:20:00,60.6
03.01.21  ,4,18:30:00,60.267
03.01.21  ,5,18:40:00,61.033
03.01.21  ,6,18:50:00,58.9
03.01.21  ,1,19:00:00,57.7
03.01.21  ,2,19:10:00,58.4
03.01.21  ,3,19:20:00,55.533
03.01.21  ,4,19:30:00,58.333
03.01.21  ,5,19:40:00,59.867
03.01.21  ,6,19:50:00,58.2
03.01.21  ,1,20:00:00,56.033
03.01.21  ,2,20:10:00,55.133
03.01.21  ,3,20:20:00,54.4
03.01.21  ,4,20:30:00,57.3
03.01.21  ,5,20:40:00,56.367
03.01.21  ,6,20:50:00,57.233
03.01.21  ,1,21:00:00,55.733
03.01.21  ,2,21:10:00,54.8
03.01.21  ,3,21:20:00,54.667
03.01.21  ,4,21:30:00,56.7
03.01.21  ,5,21:40:00,56.1
